,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,Username,Email,Name,Gender,Age
0,KTR,2019-03-24,2020-11-06,593,Sunday,KTR_20190324_20201106_20-35_F_EUR,EUR,847110,39383,499997,21.50953457075388,0.5902385758638193,12.695757052535358,20-35,F,trevorwood,amathews@gmail.com,Monica Brown,F,29
1,GRZ,2017-05-21,2018-07-24,429,Sunday,GRZ_20170521_20180724_30-45_B_GBP,GBP,510835,210452,500001,2.4273230950525537,0.9787915863243513,2.3758434227282232,30-45,B,trevorwood,amathews@gmail.com,Monica Brown,F,29
2,KTR,2017-12-18,2018-02-08,52,Monday,KTR_20171218_20180208_30-40_F_GBP,GBP,720897,342507,500001,2.104765742014032,0.6935817460746819,1.4598270984242658,30-40,F,trevorwood,amathews@gmail.com,Monica Brown,F,29
3,AKX,2019-01-24,2020-08-04,558,Thursday,AKX_20190124_20200804_40-45_B_USD,USD,610337,224361,500000,2.7203346392644,0.8192195459229901,2.2285513079367627,40-45,B,trevorwood,amathews@gmail.com,Monica Brown,F,29
4,BYU,2017-08-23,2017-09-03,11,Wednesday,BYU_20170823_20170903_35-55_F_EUR,EUR,587428,449387,500000,1.3071762200508692,0.8511681431596724,1.1126267560031777,35-55,F,trevorwood,amathews@gmail.com,Monica Brown,F,29
5,KTR,2017-08-21,2017-12-28,129,Monday,KTR_20170821_20171228_40-60_M_EUR,EUR,663381,82628,499997,8.028525439318392,0.7537101605261531,6.051181197656969,40-60,M,trevorwood,amathews@gmail.com,Monica Brown,F,29
6,GRZ,2019-03-31,2019-12-10,254,Sunday,GRZ_20190331_20191210_25-30_B_EUR,EUR,637241,385323,499998,1.653783968255204,0.7846293631451837,1.2976074617917954,25-30,B,trevorwood,amathews@gmail.com,Monica Brown,F,29
7,AKX,2018-01-16,2018-09-18,245,Tuesday,AKX_20180116_20180918_25-40_F_USD,USD,821313,629303,499999,1.3051153418941273,0.6087800874940492,0.7945282320281327,25-40,F,trevorwood,amathews@gmail.com,Monica Brown,F,29
8,GRZ,2018-02-14,2019-01-01,321,Wednesday,GRZ_20180214_20190101_30-40_M_USD,USD,43102,38848,500003,1.1095037067545306,11.600459375435015,12.870752677100494,30-40,M,jamesdavis,allen33@andrade.com,Kyle Johnson,M,80
9,KTR,2017-09-13,2019-04-19,583,Wednesday,KTR_20170913_20190419_35-45_B_EUR,EUR,816096,556489,500004,1.4665087719613505,0.612677920244677,0.8984975444258557,35-45,B,jamesdavis,allen33@andrade.com,Kyle Johnson,M,80
10,GRZ,2017-10-05,2018-01-15,102,Thursday,GRZ_20171005_20180115_30-50_B_USD,USD,424434,15417,499998,27.530258805215023,1.1780347474519006,32.43160147888694,30-50,B,jamesdavis,allen33@andrade.com,Kyle Johnson,M,80
11,BYU,2017-09-22,2018-03-21,180,Friday,BYU_20170922_20180321_20-45_B_EUR,EUR,96226,24590,500004,3.9132167547783654,5.196142414731985,20.33363155754372,20-45,B,jamesdavis,allen33@andrade.com,Kyle Johnson,M,80
12,KTR,2018-10-01,2020-02-19,506,Monday,KTR_20181001_20200219_30-45_B_EUR,EUR,215491,208307,499996,1.0344875592274863,2.320263955339202,2.4002841959223646,30-45,B,daniellehernandez,dominguezjonathan@gmail.com,Victoria Turner,F,72
13,KTR,2018-07-02,2020-03-26,633,Monday,KTR_20180702_20200326_45-60_F_USD,USD,732352,358493,499999,2.042862761615987,0.6827304356375077,1.3947245831857247,45-60,F,daniellehernandez,dominguezjonathan@gmail.com,Victoria Turner,F,72
14,KTR,2018-05-12,2019-04-24,347,Saturday,KTR_20180512_20190424_20-25_F_USD,USD,329676,83924,499999,3.9282684333444546,1.516637547167522,5.957759401363138,20-25,F,daniellehernandez,dominguezjonathan@gmail.com,Victoria Turner,F,72
15,AKX,2019-01-03,2020-12-24,721,Thursday,AKX_20190103_20201224_30-35_F_GBP,GBP,296174,61402,500000,4.823523663724309,1.6881968032305334,8.143057229406208,30-35,F,daniellehernandez,dominguezjonathan@gmail.com,Victoria Turner,F,72
16,GRZ,2018-09-30,2019-11-13,409,Sunday,GRZ_20180930_20191113_40-55_F_USD,USD,229455,221042,499999,1.0380606400593553,2.1790721492231593,2.2620090299581075,40-55,F,daniellehernandez,dominguezjonathan@gmail.com,Victoria Turner,F,72
17,GRZ,2017-06-20,2018-01-16,210,Tuesday,GRZ_20170620_20180116_40-55_F_GBP,GBP,502565,174312,499998,2.883134838680068,0.9948922029986171,2.8684083711964754,40-55,F,daniellehernandez,dominguezjonathan@gmail.com,Victoria Turner,F,72
18,KTR,2018-09-15,2019-06-03,261,Saturday,KTR_20180915_20190603_20-30_M_GBP,GBP,562874,560088,499999,1.0049742183371184,0.8882964926431137,0.8927150733456172,20-30,M,smallmark,jenniferpearson@gmail.com,Robert Duffy,M,39
19,BYU,2019-02-26,2019-11-12,259,Tuesday,BYU_20190226_20191112_25-35_B_EUR,EUR,747171,407755,500001,1.832401809910363,0.6691921929518142,1.2262289855427893,25-35,B,smallmark,jenniferpearson@gmail.com,Robert Duffy,M,39
20,BYU,2017-10-07,2019-10-04,727,Saturday,BYU_20171007_20191004_25-45_M_GBP,GBP,297969,259147,499997,1.1498068663731396,1.6780168406780571,1.9293952853013927,25-45,M,smallmark,jenniferpearson@gmail.com,Robert Duffy,M,39
21,BYU,2017-07-09,2018-09-25,443,Sunday,BYU_20170709_20180925_35-40_M_GBP,GBP,556865,142201,500000,3.916041378049381,0.8978836881470375,3.516149675459385,35-40,M,smallmark,jenniferpearson@gmail.com,Robert Duffy,M,39
22,BYU,2018-02-09,2018-02-10,1,Friday,BYU_20180209_20180210_40-55_M_USD,USD,333112,106399,499997,3.1307813043355672,1.5009876558034534,4.6992640908279215,40-55,M,smallmark,jenniferpearson@gmail.com,Robert Duffy,M,39
23,BYU,2017-12-30,2018-03-31,91,Saturday,BYU_20171230_20180331_30-40_M_EUR,EUR,754433,621627,500003,1.2136425863097966,0.6627533525177186,0.8043456928350924,30-40,M,smallmark,jenniferpearson@gmail.com,Robert Duffy,M,39
24,GRZ,2018-11-28,2019-04-24,147,Wednesday,GRZ_20181128_20190424_20-25_F_GBP,GBP,639362,180506,500000,3.5420540037450277,0.7820295857432878,2.7699910252290785,20-25,F,kellyrivera,jacquelinehernandez@reed.com,Melissa Butler,F,60
25,KTR,2017-05-16,2017-10-24,161,Tuesday,KTR_20170516_20171024_35-45_B_EUR,EUR,615600,332533,499996,1.8512448388580982,0.8122092267706302,1.503598139132056,35-45,B,kellyrivera,jacquelinehernandez@reed.com,Melissa Butler,F,60
26,GRZ,2017-09-05,2017-12-10,96,Tuesday,GRZ_20170905_20171210_30-40_M_USD,USD,315954,305360,500001,1.0346934765522662,1.582512011242143,1.6374148545978517,30-40,M,kellyrivera,jacquelinehernandez@reed.com,Melissa Butler,F,60
27,GRZ,2019-04-10,2020-11-02,572,Wednesday,GRZ_20190410_20201102_30-35_M_USD,USD,393525,367113,499999,1.0719451504032818,1.2705647671685407,1.3619757404395922,30-35,M,kellyrivera,jacquelinehernandez@reed.com,Melissa Butler,F,60
28,GRZ,2019-03-16,2020-06-15,457,Saturday,GRZ_20190316_20200615_20-25_M_EUR,EUR,239413,159100,500000,1.5047957259585167,2.0884413127106716,3.1426775612822127,20-25,M,kellyrivera,jacquelinehernandez@reed.com,Melissa Butler,F,60
29,AKX,2019-04-08,2020-05-13,401,Monday,AKX_20190408_20200513_30-45_B_USD,USD,109740,44120,499995,2.487307343608341,4.556178239475123,11.332615593834996,30-45,B,kellyrivera,jacquelinehernandez@reed.com,Melissa Butler,F,60
30,AKX,2017-07-29,2018-02-05,191,Saturday,AKX_20170729_20180205_40-50_B_EUR,EUR,240770,38084,500000,6.322077512866295,2.076670681563318,13.128873017540174,40-50,B,kellyrivera,jacquelinehernandez@reed.com,Melissa Butler,F,60
31,KTR,2018-05-03,2019-01-05,247,Thursday,KTR_20180503_20190105_40-65_M_USD,USD,859936,306037,500001,2.8099086058221716,0.5814397815651398,1.6337926459872498,40-65,M,johnsonmichael,ericmorrison@wilson-miller.com,April Harmon,F,57
32,KTR,2019-03-26,2020-02-19,330,Tuesday,KTR_20190326_20200219_20-25_B_GBP,GBP,926621,255886,500002,3.6212258583900643,0.5395970952525359,1.9540029544406494,20-25,B,johnsonmichael,ericmorrison@wilson-miller.com,April Harmon,F,57
33,AKX,2018-04-14,2018-12-05,235,Saturday,AKX_20180414_20181205_25-30_B_USD,USD,733210,627991,500002,1.1675485795178593,0.6819355982597073,0.7961929390707828,25-30,B,johnsonmichael,ericmorrison@wilson-miller.com,April Harmon,F,57
